roll,course_code,date,status
f2025376200,CS101,01-02-2025,P
f2025376201,CS101,01-02-2025,P
f2025376202,CS101,01-02-2025,A
f2025376203,CS101,01-02-2025,P
f2025376200,CS101,08-02-2025,P
f2025376201,CS101,08-02-2025,L
f2025376202,CS101,08-02-2025,P
f2025376203,CS101,08-02-2025,P
f2025376200,CS101,15-02-2025,P
f2025376201,CS101,15-02-2025,P
f2025376202,CS101,15-02-2025,A
f2025376203,CS101,15-02-2025,L
f2025376200,CS101,22-02-2025,P
f2025376201,CS101,22-02-2025,A
f2025376202,CS101,22-02-2025,P
f2025376203,CS101,22-02-2025,P
f2025376202,AI201,01-02-2025,P
f2025376203,AI201,01-02-2025,P
f2025376202,AI201,08-02-2025,A
f2025376203,AI201,08-02-2025,P
f2025376202,AI201,15-02-2025,L
f2025376203,AI201,15-02-2025,P
f2024375100,CS201,01-02-2025,P
f2024375101,CS201,01-02-2025,P
f2024375102,CS201,01-02-2025,A
f2024375100,CS201,08-02-2025,P
f2024375101,CS201,08-02-2025,P
f2024375102,CS201,08-02-2025,A
f2024375100,CS201,15-02-2025,P
f2024375101,CS201,15-02-2025,L
f2024375102,CS201,15-02-2025,A
f2023374050,CS301,01-02-2025,P
f2023374050,CS301,08-02-2025,P
f2023374050,CS301,15-02-2025,P
f2023374052,CS301,01-02-2025,A
f2023374052,CS301,08-02-2025,P
f2023374052,CS301,15-02-2025,P
