roll,course_code,semester,status
f2025376200,CS101,Spring2025,enrolled
f2025376200,MT101,Spring2025,enrolled
f2025376201,CS101,Spring2025,enrolled
f2025376201,MT101,Spring2025,enrolled
f2025376202,CS101,Spring2025,enrolled
f2025376202,AI201,Spring2025,enrolled
f2025376203,CS101,Spring2025,enrolled
f2025376203,AI201,Spring2025,enrolled
f2024375100,CS201,Spring2025,enrolled
f2024375100,DB201,Spring2025,enrolled
f2024375101,AI201,Spring2025,enrolled
f2024375101,CS201,Spring2025,enrolled
f2024375102,CS201,Spring2025,enrolled
f2024375103,EE101,Spring2025,enrolled
f2024375103,MT101,Spring2025,enrolled
f2023374050,CS301,Spring2025,enrolled
f2023374050,DB201,Spring2025,enrolled
f2023374051,AI301,Spring2025,enrolled
f2023374052,EE201,Spring2025,enrolled
f2023374052,CS301,Spring2025,enrolled
