roll,semester,amount_due,amount_paid,due_date,paid_date
f2025376200,Spring2025,65000,65000,15-01-2025,10-01-2025
f2025376201,Spring2025,65000,65000,15-01-2025,14-01-2025
f2025376202,Spring2025,65000,30000,15-01-2025,28-01-2025
f2025376203,Spring2025,65000,65000,15-01-2025,12-01-2025
f2024375100,Spring2025,65000,65000,15-01-2025,08-01-2025
f2024375101,Spring2025,65000,0,15-01-2025,
f2024375102,Spring2025,65000,20000,15-01-2025,22-01-2025
f2024375103,Spring2025,65000,65000,15-01-2025,15-01-2025
f2023374050,Spring2025,65000,65000,15-01-2025,05-01-2025
f2023374051,Spring2025,65000,40000,15-01-2025,20-01-2025
f2023374052,Spring2025,65000,0,15-01-2025,
