roll,course_code,q1,q2,q3,q4,q5,assignment,midterm,final,total,grade
f2025376200,CS101,9.0,8.5,9.5,8.0,9.0,88.0,37.0,54.0,90.42,A
f2025376201,CS101,10.0,9.5,9.0,9.5,10.0,92.0,39.0,56.0,93.83,A
f2025376202,CS101,6.0,7.0,5.5,6.5,7.0,65.0,25.0,38.0,67.33,C+
f2025376203,CS101,8.0,7.5,8.5,7.0,8.0,78.0,32.0,48.0,79.67,B
f2024375100,CS201,8.5,9.0,8.0,9.5,8.0,82.0,34.0,50.0,83.33,B+
f2024375101,CS201,7.0,8.0,7.5,6.5,8.0,74.0,30.0,44.0,74.25,B
f2024375102,CS201,5.0,4.5,6.0,5.5,5.0,55.0,20.0,30.0,53.25,L
f2023374050,CS301,9.0,8.5,9.0,9.5,8.0,85.0,36.0,52.0,87.67,A
f2023374052,CS301,7.5,8.0,7.0,8.5,7.0,72.0,29.0,43.0,73.50,B
f2025376202,AI201,8.0,7.5,8.0,7.0,8.5,76.0,31.0,46.0,76.83,B
f2025376203,AI201,9.0,8.5,9.5,8.0,9.0,84.0,35.0,51.0,85.83,A
f2024375101,AI201,7.0,6.5,7.5,7.0,6.0,70.0,28.0,42.0,70.58,B
